DMG9000 - SN:23100118
Date  hh:mm:ss,DMG - VLL ph 1-AVG,DMG - VLL ph 2-AVG,DMG - VLL ph 3-AVG,BRN01 I ph 1-AVG,BRN01 I ph 2-AVG,BRN01 I ph 3-AVG,BRN01 W TOT-AVG,BRN01 kWh+ SUM TOT,BRN02 I ph 1-AVG,BRN02 I ph 2-AVG,BRN02 I ph 3-AVG,BRN02 W TOT-AVG,BRN02 kWh+ SUM TOT,BRN03 I ph 1-AVG,BRN03 I ph 2-AVG,BRN03 I ph 3-AVG,BRN03 W TOT-AVG,BRN03 kWh+ SUM TOT,DMG - PF TOT-AVG,DMG - Cos ph 1-AVG,DMG - Cos ph 2-AVG,DMG - Cos ph 3-AVG,DMG - VLN%THD ph 1-AVG,DMG - VLN%THD ph 2-AVG,DMG - VLN%THD ph 3-AVG,DMG - VLL%THD ph 1-AVG,DMG - VLL%THD ph 2-AVG,DMG - VLL%THD ph 3-AVG,DMG - A%THD ph 1-AVG,DMG - A%THD ph 2-AVG,DMG - A%THD ph 3-AVG,DMG - VA TOT-AVG,DMG - VLN TOT-MIN,DMG - VLL TOT-MIN,
 2025/06/13  18:45:12,      401.52,      400.27,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8592,      0.8571,       12.41,       12.40,       12.42,        6.41,        6.36,        6.53,        6.60,        6.60,        6.60,     3747.39,      231.85,      399.36,
 2025/06/13  18:50:13,      401.49,      400.28,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.42,       12.40,        6.41,        6.35,        6.52,        6.60,        6.60,        6.59,     3747.17,      231.91,      399.51,
 2025/06/13  18:55:13,      401.51,      400.28,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.41,       12.39,        6.39,        6.35,        6.52,        6.59,        6.60,        6.60,     3747.23,      231.87,      399.46,
 2025/06/13  19:00:14,      401.50,      400.26,      400.58,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.41,       12.40,        6.41,        6.36,        6.52,        6.61,        6.60,        6.59,     3746.99,      231.91,      399.44,
 2025/06/13  19:05:14,      401.51,      400.30,      400.61,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.40,       12.40,        6.40,        6.36,        6.53,        6.60,        6.60,        6.60,     3747.49,      231.93,      399.46,
 2025/06/13  19:10:15,      401.54,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.40,        6.35,        6.52,        6.60,        6.60,        6.60,     3747.63,      231.95,      399.51,
 2025/06/13  19:15:15,      401.51,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.38,       12.40,       12.41,        6.39,        6.35,        6.52,        6.59,        6.60,        6.59,     3747.35,      231.95,      399.51,
 2025/06/13  19:20:16,      401.50,      400.26,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.39,       12.41,       12.40,        6.40,        6.35,        6.52,        6.59,        6.59,        6.60,     3747.10,      231.92,      399.49,
 2025/06/13  19:25:16,      401.51,      400.28,      400.57,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.40,        6.35,        6.53,        6.60,        6.60,        6.61,     3747.16,      231.80,      399.29,
 2025/06/13  19:30:17,      401.51,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.42,       12.41,        6.41,        6.36,        6.52,        6.60,        6.61,        6.59,     3747.45,      232.00,      399.50,
 2025/06/13  19:35:17,      401.53,      400.28,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.41,        6.35,        6.52,        6.60,        6.60,        6.60,     3747.50,      232.03,      399.67,
 2025/06/13  19:40:18,      401.50,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.40,       12.41,        6.40,        6.36,        6.52,        6.59,        6.60,        6.60,     3747.20,      231.96,      399.54,
 2025/06/13  19:45:18,      401.51,      400.29,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.41,        6.41,        6.37,        6.53,        6.61,        6.61,        6.60,     3747.27,      231.88,      399.35,
 2025/06/13  19:50:19,      401.52,      400.29,      400.62,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.42,        6.41,        6.36,        6.51,        6.60,        6.60,        6.59,     3747.53,      231.93,      399.51,
 2025/06/13  19:55:19,      401.48,      400.29,      400.59,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8571,       12.40,       12.40,       12.41,        6.39,        6.35,        6.52,        6.59,        6.60,        6.59,     3747.10,      231.91,      399.48,
 2025/06/13  20:00:20,      401.50,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.39,       12.39,       12.41,        6.39,        6.35,        6.52,        6.58,        6.59,        6.59,     3747.30,      231.98,      399.59,
 2025/06/13  20:05:20,      401.50,      400.26,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8592,      0.8571,       12.41,       12.41,       12.40,        6.41,        6.36,        6.52,        6.61,        6.60,        6.60,     3747.15,      231.82,      399.23,
 2025/06/13  20:10:21,      401.50,      400.27,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.42,       12.40,       12.40,        6.41,        6.35,        6.53,        6.61,        6.60,        6.60,     3747.23,      231.94,      399.48,
 2025/06/13  20:15:21,      401.52,      400.29,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.40,       12.40,       12.40,        6.41,        6.35,        6.53,        6.61,        6.60,        6.61,     3747.40,      231.98,      399.52,
 2025/06/13  20:20:22,      401.50,      400.28,      400.60,      0.0000,      0.0000,      0.0000,        0.00,         2.7,      0.0000,      0.0000,      0.0000,        0.00,        16.9,      0.0000,      0.0000,      0.0000,        0.00,         4.8,      0.8532,      0.8628,      0.8593,      0.8570,       12.41,       12.40,       12.41,        6.40,        6.36,        6.52,        6.59,        6.61,        6.60,     3747.16,      231.80,      399.20,
